var_0;var_1;var_2;var_3;var_4;var_5;var_6;var_7;var_8;var_9;var_10;var_11;var_12;var_13;var_14;var_15;var_16;var_17;var_18;var_19;var_20;var_21;var_22;var_23;var_24;var_25;var_26;var_27;var_28;var_29;var_30;var_31;var_32;var_33;var_34;var_35
Concludente/Egresso;Caraúbas - Noturno;2021.1;20222;Sim, sempre quis cursar CeT;Não;Pública;Escola Estadual;Pública;Escola Estadual;RN;Eu já morava na mesma cidade;Não;Masculino;Pardo;Solteiro;Não;Não;Menos de 500 reais;Não;Reprovado em duas disciplinas;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Sim;Ensino fundamental incompleto;Ensino médio completo;69;2021;2022;10
Concludente/Egresso;Mossoró - Noturno;2018.2;20212;Não, esse foi o curso que consegui ingressar;Não;Pública;Escola Estadual;Pública;Municipal;CE;Não;Sim;Masculino;Branco;Solteiro;Não;Não;Entre 501 e 1000 reais;Sim;Aprovado em todas as disciplinas;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Ensino fundamental incompleto;Ensino médio incompleto;70;2018;2021;30
Concludente/Egresso;Mossoró - Diurno;2017.1;20212;Não, esse foi o curso que consegui ingressar;Não;Pública;Instituto Federal;Privada;NULO;RN;Eu já morava na mesma cidade;Não;Feminino;Branco;Solteiro;Sim;Não;Acima de 3000 reais;Não;Reprovado em duas disciplinas;Não;Sim;Sim;Não;Sim;Não;Sim;Não;Sim;Ensino médio completo;Ensino superior Completo;71;2017;2021;40
Concludente/Egresso;Mossoró - Diurno;2016.1;20211;Sim, sempre quis cursar CeT;Não;privada;NULO;Privada;NULO;CE;Sim;Não;Masculino;Branco;Solteiro;Não;Não;Entre 501 e 1000 reais;Não;Reprovado em duas disciplinas;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não;Ensino médio completo;Ensino médio completo;72;2016;2021;50
Concludente/Egresso;Pau dos Ferros - Noturno;2018.2;20212;Sim, sempre quis cursar CeT;Sim;privada;NULO;Pública;Escola Estadual;RN;Eu já morava na mesma cidade;Não;Feminino;Branco;Solteiro;Não;Não;Entre 1501 e 2000 reais;Não;Aprovado em todas as disciplinas;Não;Não;Não;Não;Sim;Sim;Não;Não;Sim;Ensino médio incompleto;Ensino fundamental incompleto;73;2018;2021;30
Concludente/Egresso;Mossoró - Diurno;2019.2;20202;Não, esse foi o curso que consegui ingressar;Não;privada;NULO;Privada;NULO;RN;Não;Não;Feminino;Negro;Solteiro;Não;Não;Entre 2001 e 2500 reais;Não;Aprovado em todas as disciplinas;Sim;Sim;Sim;Sim;Sim;Não;Não;Não;Sim;Ensino superior Completo;Ensino médio completo;74;2019;2020;10
Concludente/Egresso;Caraúbas - Noturno;2020.2;20212;Sim, sempre quis cursar CeT;Sim;privada;Escola Estadual;Pública;Escola Estadual;RN;Não;Não;Masculino;Branco;Solteiro;Não;Sim;Entre 1501 e 2000 reais;Não;Reprovado em uma disciplina;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Ensino médio completo;Ensino médio completo;75;2020;2021;10
Concludente/Egresso;Caraúbas - Noturno;2015.2;20211;Não, esse foi o curso que consegui ingressar;Sim;privada;NULO;Privada;NULO;RN;Sim;Não;Feminino;Pardo;Solteiro;Não;Não;Entre 501 e 1000 reais;Sim;Reprovado em uma disciplina;Sim;Não;Sim;Não;Não;Sim;Não;Não;Sim;Ensino médio incompleto;Ensino médio incompleto;76;2015;2021;60
Evadido/Desistente;Mossoró - Noturno;2015.1;20171;Sim, sempre quis cursar CeT;Sim;Pública;Instituto Federal;Privada;NULO;RN;Sim;Não;Masculino;Pardo;Solteiro;Não;Não;Menos de 500 reais;Não;Reprovado em quatro disciplinas;Não;Não;Não;Não;Não;Sim;Não;Não;Sim;Ensino médio completo;Ensino médio completo;77;2015;2017;20
Concludente/Egresso;Caraúbas - Diurno;2021.1;20212;Sim, sempre quis cursar CeT;Não;Pública;Instituto Federal;Pública;Municipal;RN;Não;Não;Masculino;Pardo;Solteiro;Não;Não;Menos de 500 reais;Não;Aprovado em todas as disciplinas;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Ensino fundamental incompleto;Ensino fundamental incompleto;78;2021;2021;0
Concludente/Egresso;Caraúbas - Diurno;2020.1;20211;Sim, sempre quis cursar CeT;Não;Pública;Escola Estadual;Pública;Municipal;PB;Sim;Não;Feminino;Pardo;Solteiro;Não;Não;Entre 501 e 1000 reais;Sim;Aprovado em todas as disciplinas;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Sim;Ensino fundamental incompleto;Ensino primário incompleto;79;2020;2021;10
Concludente/Egresso;Mossoró - Diurno;2020.1;20212;Sim, sempre quis cursar CeT;Não;privada;NULO;Privada;NULO;RN;Eu já morava na mesma cidade;Não;Masculino;Pardo;Solteiro;Não;Não;Acima de 3000 reais;Não;Aprovado em todas as disciplinas;Não;Sim;Sim;Não;Sim;Sim;Sim;Sim;Sim;Pós-graduação completa;Ensino superior Completo;80;2020;2021;10
Evadido/Desistente;Mossoró - Diurno;2013.1;20142;Não, esse foi o curso que consegui ingressar;Não;privada;NULO;Privada;NULO;RN;Não;Não;Feminino;Branco;Solteiro;Não;Não;Acima de 3000 reais;Sim;Reprovado em duas disciplinas;Sim;Não;Sim;Não;Sim;Sim;Não;Não;Sim;Ensino fundamental incompleto;Pós-graduação completa;81;2013;2014;10
Concludente/Egresso;Caraúbas - Noturno;2020.2;20212;Não, esse foi o curso que consegui ingressar;Sim;Pública;Escola Estadual;Pública;Escola Estadual;RN;Não;Não;Masculino;Pardo;Solteiro;Não;Não;Entre 1001 e 1500 reais;Não;Aprovado em todas as disciplinas;Não;Não;Não;Não;Sim;Sim;Sim;Não;Sim;Ensino fundamental incompleto;Ensino fundamental incompleto;82;2020;2021;10
Concludente/Egresso;Caraúbas - Noturno;2021.1;20212;Sim, sempre quis cursar CeT;Sim;Pública;Escola Estadual;Pública;Municipal;RN;Não;Não;Masculino;Negro;Casado;Sim;Sim;Entre 1001 e 1500 reais;Não;Aprovado em todas as disciplinas;Não;Não;Sim;Sim;Sim;Não;Não;Não;Não;Ensino superior incompleto;Ensino médio completo;83;2021;2021;0
Concludente/Egresso;Angicos - Noturno;2014.2;20192;Não, esse foi o curso que consegui ingressar;Sim;Pública;Escola Estadual;Pública;Escola Estadual;RN;Sim;Não;Masculino;Pardo;Solteiro;Não;Não;Entre 501 e 1000 reais;Sim;Aprovado em todas as disciplinas;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Ensino médio incompleto;Ensino superior Completo;84;2014;2019;50
Concludente/Egresso;Mossoró - Noturno;2020.1;20212;Sim, sempre quis cursar CeT;Não;Pública;Escola Estadual;Privada;NULO;RN;Eu já morava na mesma cidade;Não;Masculino;Pardo;Solteiro;Não;Não;Entre 1501 e 2000 reais;Não;Aprovado em todas as disciplinas;Sim;Não;Sim;Sim;Sim;Sim;Sim;Não;Sim;Ensino médio completo;Ensino fundamental incompleto;85;2020;2021;10
Evadido/Desistente;Mossoró - Diurno;2008.2;20092;Não, esse foi o curso que consegui ingressar;Não;privada;NULO;Pública;Escola Estadual;RN;Eu já morava na mesma cidade;Não;Masculino;Pardo;Casado;Não;Sim;Entre 1001 e 1500 reais;Sim;Reprovado em cinco ou mais disciplinas;Não;Não;Não;Sim;Sim;Sim;Sim;Não;Sim;Pós-graduação completa;Ensino médio completo;86;2008;2009;10
Concludente/Egresso;Mossoró - Diurno;2017.2;20211;Sim, sempre quis cursar CeT;Sim;privada;NULO;Privada;NULO;RN;Eu já morava na mesma cidade;Não;Feminino;Prefiro não informar;Solteiro;Não;Não;Entre 2501 e 3000 reais;Sim;Aprovado em todas as disciplinas;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Sim;Ensino médio incompleto;Ensino médio completo;87;2017;2021;40
Concludente/Egresso;Mossoró - Diurno;2018.1;20212;Sim, sempre quis cursar CeT;Sim;Pública;Escola Estadual;Pública;Municipal;CE;Sim;Não;Masculino;Negro;Solteiro;Não;Não;Menos de 500 reais;Sim;Reprovado em uma disciplina;Não;Não;Sim;Sim;Sim;Sim;Não;Não;Sim;Ensino fundamental incompleto;Ensino fundamental incompleto;88;2018;2021;30
Concludente/Egresso;Mossoró - Diurno;2011.1;20132;Não, esse foi o curso que consegui ingressar;Sim;privada;NULO;Pública;Municipal;CE;Sim;Sim;Masculino;Branco;Casado;Não;Sim;Entre 2501 e 3000 reais;Sim;Aprovado em todas as disciplinas;Não;Não;Não;Não;Sim;Sim;Sim;Não;Sim;Pós-graduação completa;Ensino médio completo;89;2011;2013;20
Evadido/Desistente;Mossoró - Noturno;2021.2;20212;Não, esse foi o curso que consegui ingressar;Sim;Pública;Escola Estadual;Pública;Municipal;RN;Eu já morava na mesma cidade;Não;Masculino;Pardo;Solteiro;Não;Não;Entre 501 e 1000 reais;Não;Reprovado em cinco ou mais disciplinas;Não;Não;Sim;Sim;Sim;Não;Não;Não;Não;Ensino superior Completo;Ensino médio completo;90;2021;2021;0
Concludente/Egresso;Caraúbas - Noturno;2016.1;20192;Não, esse foi o curso que consegui ingressar;Não;Pública;Instituto Federal;Pública;Municipal;RN;Eu já morava na mesma cidade;Não;Masculino;Branco;Solteiro;Não;Não;Entre 501 e 1000 reais;Não;Aprovado em todas as disciplinas;Sim;Não;Sim;Não;Sim;Sim;Não;Não;Sim;Ensino fundamental Completo;Ensino médio completo;91;2016;2019;30
Concludente/Egresso;Mossoró - Noturno;2019.2;20212;Não, esse foi o curso que consegui ingressar;Sim;Pública;Escola Estadual;Pública;Escola Estadual;RN;Eu já morava na mesma cidade;Não;Masculino;Branco;Solteiro;Não;Sim;Entre 2501 e 3000 reais;Não;Reprovado em duas disciplinas;Não;Sim;Sim;Não;Sim;Não;Sim;Sim;Não;Ensino médio incompleto;Ensino superior incompleto;92;2019;2021;20
Concludente/Egresso;Mossoró - Noturno;2017.1;20212;Sim, sempre quis cursar CeT;Sim;privada;NULO;Privada;NULO;CE;Sim;Não;Masculino;Branco;Solteiro;Não;Não;Entre 1001 e 1500 reais;Sim;Reprovado em duas disciplinas;Não;Sim;Sim;Sim;Sim;Não;Não;Não;Sim;Ensino médio completo;Ensino superior incompleto;93;2017;2021;40
Concludente/Egresso;Mossoró - Noturno;2017.2;20212;Sim, sempre quis cursar CeT;Sim;privada;NULO;Privada;NULO;RN;Eu já morava na mesma cidade;Não;Masculino;Branco;Solteiro;Não;Não;Acima de 3000 reais;Não;Reprovado em quatro disciplinas;Não;Não;Não;Não;Sim;Sim;Não;Não;Sim;Ensino médio completo;Ensino médio completo;94;2017;2021;40
Concludente/Egresso;Mossoró - Diurno;2019.1;20211;Sim, sempre quis cursar CeT;Sim;Pública;Instituto Federal;Privada;NULO;PB;Sim;Não;Masculino;Pardo;Solteiro;Não;Não;Entre 1001 e 1500 reais;Sim;Aprovado em todas as disciplinas;Não;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Ensino superior Completo;Ensino superior Completo;95;2019;2021;20
Concludente/Egresso;Mossoró - Noturno;2017.1;20221;Sim, sempre quis cursar CeT;Não;Pública;Escola Estadual;Privada;NULO;RN;Eu já morava na mesma cidade;Não;Masculino;Pardo;Casado;Sim;Sim;Entre 2501 e 3000 reais;Não;Reprovado em uma disciplina;Sim;Sim;Sim;Não;Sim;Sim;Sim;Sim;Sim;Pós-graduação completa;Ensino fundamental incompleto;96;2017;2022;50
Concludente/Egresso;Mossoró - Diurno;2021.1;20212;Sim, sempre quis cursar CeT;Sim;Pública;Escola Estadual;Privada;Instituto Dantas Monteiro;RN;Não;Não;Masculino;Branco;Solteiro;Não;Sim;Entre 1001 e 1500 reais;Não;Aprovado em todas as disciplinas;Não;Sim;Sim;Sim;Sim;Sim;Não;Não;Não;Ensino médio completo;Ensino médio completo;97;2021;2021;0
Evadido/Desistente;Mossoró - Noturno;2013.1;20181;Não, esse foi o curso que consegui ingressar;Sim;privada;NULO;Privada;NULO;RN;Eu já morava na mesma cidade;Não;Masculino;Pardo;Solteiro;Não;Sim;Acima de 3000 reais;Não;Aprovado em todas as disciplinas;Não;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;Ensino médio completo;Ensino superior incompleto;98;2013;2018;50
Concludente/Egresso;Pau dos Ferros - Diurno;2014.2;20201;Não, esse foi o curso que consegui ingressar;Não;Pública;Escola Estadual;Pública;Municipal;RN;Sim;Não;Masculino;Branco;Solteiro;Não;Sim;Entre 1001 e 1500 reais;Sim;Reprovado em quatro disciplinas;Não;Não;Sim;Não;Sim;Não;Sim;Não;Sim;Ensino fundamental incompleto;Ensino fundamental incompleto;99;2014;2020;60
Evadido/Desistente;Mossoró - Diurno;2013.1;20132;Não, esse foi o curso que consegui ingressar;Sim;Pública;Escola Estadual;Privada;NULO;CE;Sim;Não;Masculino;Branco;Solteiro;Não;Não;Entre 1501 e 2000 reais;Não;Reprovado em uma disciplina;Não;Não;Sim;Sim;Sim;Sim;Não;Não;Sim;Ensino médio completo;Ensino fundamental Completo;100;2013;2013;0
Concludente/Egresso;Caraúbas - Noturno;2018.1;20212;Não, esse foi o curso que consegui ingressar;Sim;Pública;Escola Estadual;Pública;Municipal;RN;Não;Não;Masculino;Pardo;Solteiro;Não;Não;Entre 501 e 1000 reais;Não;Reprovado em cinco ou mais disciplinas;Não;Não;Não;Não;Não;Sim;Sim;Não;Sim;Ensino fundamental incompleto;Ensino primário incompleto;101;2018;2021;30
Concludente/Egresso;Angicos - Diurno;2021.1;20212;Não, esse foi o curso que consegui ingressar;Não;Pública;Escola Estadual;Pública;Escola Estadual;RJ;Não;Não;Masculino;Pardo;Solteiro;Não;Não;Entre 1001 e 1500 reais;Não;Reprovado em duas disciplinas;Não;Sim;Não;Não;Não;Sim;Sim;Não;Não;Ensino fundamental incompleto;Ensino fundamental Completo;102;2021;2021;0
Concludente/Egresso;Mossoró - Diurno;2011.2;20202;Não, esse foi o curso que consegui ingressar;Não;Pública;Escola Estadual;Pública;Escola Estadual;RN;Eu já morava na mesma cidade;Não;Masculino;Pardo;Solteiro;Não;Sim;Entre 1501 e 2000 reais;Não;Reprovado em quatro disciplinas;Sim;Não;Não;Não;Sim;Sim;Não;Não;Sim;Ensino médio completo;Pós-graduação completa;103;2011;2020;90
Concludente/Egresso;Caraúbas - Diurno;2019.2;20211;Não, esse foi o curso que consegui ingressar;Não;Pública;Escola Estadual;Pública;Escola Estadual;PB;Sim;Não;Masculino;Pardo;Casado;Não;Não;Entre 501 e 1000 reais;Sim;Reprovado em uma disciplina;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Não;Ensino médio completo;Ensino médio incompleto;104;2019;2021;20
Evadido/Desistente;Angicos - Noturno;2013.2;20171;Não, esse foi o curso que consegui ingressar;Não;Pública;Instituto Federal;Pública;Municipal;RN;Não;Não;Feminino;Pardo;Casado;Não;Não;Entre 501 e 1000 reais;Não;Reprovado em duas disciplinas;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Ensino fundamental incompleto;Ensino fundamental Completo;105;2013;2017;40
Concludente/Egresso;Pau dos Ferros - Noturno;2018.1;20202;Sim, sempre quis cursar CeT;Sim;Pública;Escola Estadual;Pública;Municipal;RN;Sim;Não;Masculino;Pardo;Solteiro;Não;Sim;Menos de 500 reais;Sim;Aprovado em todas as disciplinas;Sim;Não;Sim;Não;Sim;Não;Não;Não;Não;Ensino médio completo;Ensino fundamental incompleto;106;2018;2020;20
Concludente/Egresso;Caraúbas - Diurno;2018.1;20202;Não, esse foi o curso que consegui ingressar;Sim;Pública;Instituto Federal;Pública;Municipal;PI;Sim;Não;Feminino;Pardo;Solteiro;Não;Não;Menos de 500 reais;Sim;Aprovado em todas as disciplinas;Não;Não;Sim;Não;Não;Sim;Não;Não;Não;Ensino fundamental incompleto;Ensino fundamental incompleto;107;2018;2020;20
Concludente/Egresso;Angicos - Diurno;2018.1;20211;Não, esse foi o curso que consegui ingressar;Não;Pública;Escola Estadual;Privada;NULO;RN;Sim;Sim;Feminino;Pardo;Solteiro;Não;Não;Entre 501 e 1000 reais;Sim;Reprovado em duas disciplinas;Sim;Sim;Sim;Sim;Sim;Não;Não;Não;Não;Ensino médio incompleto;Ensino médio completo;108;2018;2021;30
Concludente/Egresso;Angicos - Diurno;2018.1;20211;Não, esse foi o curso que consegui ingressar;Não;privada;NULO;Privada;NULO;RN;Sim;Não;Feminino;Pardo;Solteiro;Não;Não;Entre 1501 e 2000 reais;Sim;Aprovado em todas as disciplinas;Sim;Sim;Sim;Sim;Sim;Não;Não;Não;Sim;Ensino superior Completo;Ensino médio completo;109;2018;2021;30
Concludente/Egresso;Angicos - Noturno;2018.1;20211;Sim, sempre quis cursar CeT;Não;Pública;Escola Estadual;Pública;Escola Estadual;RN;Sim;Não;Masculino;Branco;Solteiro;Sim;Não;Entre 1001 e 1500 reais;Não;Aprovado em todas as disciplinas;Sim;Não;Sim;Não;Não;Sim;Não;Não;Sim;Ensino médio completo;Ensino médio completo;110;2018;2021;30
Concludente/Egresso;Caraúbas - Diurno;2020.1;20211;Sim, sempre quis cursar CeT;Não;Pública;Escola Estadual;Privada;NULO;PE;Sim;Não;Feminino;Pardo;Solteiro;Não;Sim;Acima de 3000 reais;Não;Aprovado em todas as disciplinas;Não;Não;Não;Sim;Sim;Sim;Não;Sim;Não;Ensino superior incompleto;Ensino fundamental incompleto;111;2020;2021;10
Concludente/Egresso;Angicos - Diurno;2019.2;20212;Não, esse foi o curso que consegui ingressar;Não;Pública;Escola Estadual;Pública;Escola Estadual;RN;Eu já morava na mesma cidade;Não;Feminino;Pardo;Solteiro;Não;Não;Entre 1001 e 1500 reais;Não;Reprovado em duas disciplinas;Sim;Não;Sim;Sim;Sim;Não;Não;Não;Sim;Ensino médio completo;Ensino médio completo;112;2019;2021;20
Concludente/Egresso;Mossoró - Noturno;2014.1;20162;Sim, sempre quis cursar CeT;Sim;Pública;Instituto Federal;Privada;NULO;RN;Eu já morava na mesma cidade;Não;Masculino;Branco;Solteiro;Não;Sim;Acima de 3000 reais;Sim;Aprovado em todas as disciplinas;Sim;Não;Sim;Não;Sim;Sim;Sim;Não;Sim;Ensino superior Completo;Ensino superior Completo;113;2014;2016;20
Concludente/Egresso;Pau dos Ferros - Noturno;2021.1;20212;Sim, sempre quis cursar CeT;Sim;Pública;Escola Estadual;Pública;Municipal;CE;Não;Não;Feminino;Branco;Solteiro;Não;Sim;Entre 1001 e 1500 reais;Não;Aprovado em todas as disciplinas;Sim;Sim;Sim;Sim;Sim;Não;Sim;Sim;Sim;Ensino fundamental incompleto;Ensino médio incompleto;114;2021;2021;0
Evadido/Desistente;Mossoró - Diurno;2018.1;20202;Sim, sempre quis cursar CeT;Sim;Pública;Escola Estadual;Pública;Municipal;RN;Eu já morava na mesma cidade;Não;Masculino;Branco;Solteiro;Não;Não;Acima de 3000 reais;Sim;Reprovado em duas disciplinas;Não;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Ensino superior Completo;Ensino médio completo;115;2018;2020;20
Concludente/Egresso;Mossoró - Diurno;2013.2;20171;Não, esse foi o curso que consegui ingressar;Não;Pública;Escola Estadual;Pública;Escola Estadual;RN;Sim;Não;Feminino;Branco;Solteiro;Não;Não;Entre 501 e 1000 reais;Sim;Aprovado em todas as disciplinas;Sim;Não;Sim;Não;Sim;Sim;Não;Não;Sim;Ensino fundamental incompleto;Ensino fundamental incompleto;116;2013;2017;40
Concludente/Egresso;Caraúbas - Diurno;2013.2;20211;Não, esse foi o curso que consegui ingressar;Não;Pública;Escola Estadual;Pública;Municipal;PE;Sim;Sim;Feminino;Pardo;Solteiro;Não;Sim;Entre 1001 e 1500 reais;Sim;Reprovado em cinco ou mais disciplinas;Sim;Não;Sim;Não;Não;Sim;Não;Não;Não;Ensino médio completo;Ensino médio completo;117;2013;2021;80
Concludente/Egresso;Caraúbas - Diurno;2019.2;20211;Não, esse foi o curso que consegui ingressar;Não;Pública;Escola Estadual;Pública;Municipal;PB;Sim;Não;Masculino;Branco;Solteiro;Não;Não;Entre 501 e 1000 reais;Sim;Reprovado em uma disciplina;Sim;Sim;Sim;Não;Sim;Não;Sim;Não;Não;Ensino fundamental Completo;Ensino médio completo;118;2019;2021;20
Concludente/Egresso;Mossoró - Diurno;2017.1;20202;Não, esse foi o curso que consegui ingressar;Não;privada;NULO;Privada;NULO;RN;Eu já morava na mesma cidade;Não;Masculino;Branco;Solteiro;Não;Não;Acima de 3000 reais;Sim;Reprovado em uma disciplina;Não;Não;Não;Não;Sim;Sim;Não;Não;Sim;Pós-graduação completa;Ensino médio completo;119;2017;2020;30
Concludente/Egresso;Angicos - Noturno;2021.1;20211;Sim, sempre quis cursar CeT;Não;privada;NULO;Privada;NULO;RN;Não;Não;Masculino;Pardo;Solteiro;Sim;Sim;Entre 2501 e 3000 reais;Não;Reprovado em uma disciplina;Não;Sim;Sim;Sim;Sim;Não;Sim;Sim;Sim;Ensino médio incompleto;Ensino médio completo;120;2021;2021;0
Concludente/Egresso;Mossoró - Noturno;2010.1;20141;Sim, sempre quis cursar CeT;Não;Pública;Instituto Federal;Pública;Municipal;RN;Eu já morava na mesma cidade;Não;Masculino;Pardo;Solteiro;Não;Sim;Entre 501 e 1000 reais;Não;Aprovado em todas as disciplinas;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Ensino médio completo;Ensino médio incompleto;121;2010;2014;40
Concludente/Egresso;Angicos - Noturno;2021.2;20212;Não, esse foi o curso que consegui ingressar;Sim;Pública;Escola Estadual;Pública;Municipal;RN;Não;Não;Feminino;Negro;Solteiro;Não;Sim;Entre 1001 e 1500 reais;Não;Aprovado em todas as disciplinas;Sim;Sim;Sim;Sim;Sim;Não;Sim;Sim;Sim;Ensino primário incompleto;Ensino primário incompleto;122;2021;2021;0
Concludente/Egresso;Mossoró - Diurno;2009.1;20131;Sim, sempre quis cursar CeT;Não;privada;NULO;Privada;NULO;RN;Eu já morava na mesma cidade;Não;Masculino;Amarelo;Casado;Não;Sim;Acima de 3000 reais;Não;Aprovado em todas as disciplinas;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Ensino médio completo;Ensino fundamental Completo;123;2009;2013;40
Concludente/Egresso;Mossoró - Noturno;2016.1;20202;Sim, sempre quis cursar CeT;Sim;Pública;Escola Estadual;Pública;Escola Estadual;RN;Eu já morava na mesma cidade;Não;Masculino;Pardo;Solteiro;Não;Sim;Acima de 3000 reais;Não;Aprovado em todas as disciplinas;Não;Não;Não;Não;Não;Sim;Não;Não;Sim;Ensino médio completo;Ensino primário incompleto;124;2016;2020;40
Concludente/Egresso;Pau dos Ferros - Noturno;2021.2;20212;Não, esse foi o curso que consegui ingressar;Sim;Pública;Escola Estadual;Pública;Municipal;RN;Não;Não;Masculino;Branco;Solteiro;Não;Sim;Entre 501 e 1000 reais;Não;Aprovado em todas as disciplinas;Sim;Sim;Sim;Sim;Sim;Não;Sim;Sim;Não;Ensino médio completo;Ensino fundamental incompleto;125;2021;2021;0
Concludente/Egresso;Angicos - Noturno;2016.2;20211;Sim, sempre quis cursar CeT;Não;Pública;Escola Estadual;Pública;Escola Estadual;RN;Eu já morava na mesma cidade;Não;Feminino;Branco;Solteiro;Não;Sim;Entre 1001 e 1500 reais;Não;Aprovado em todas as disciplinas;Não;Não;Sim;Sim;Não;Não;Não;Não;Sim;Ensino fundamental incompleto;Ensino fundamental incompleto;126;2016;2021;50
Concludente/Egresso;Pau dos Ferros - Noturno;2015.1;20181;Sim, sempre quis cursar CeT;Não;Pública;Escola Estadual;Pública;Municipal;CE;Sim;Sim;Masculino;Pardo;Solteiro;Não;Sim;Entre 501 e 1000 reais;Sim;Aprovado em todas as disciplinas;Sim;Não;Sim;Não;Sim;Sim;Não;Não;Não;Ensino médio completo;Ensino médio incompleto;127;2015;2018;30
Evadido/Desistente;Caraúbas - Diurno;2012.2;20151;Não, esse foi o curso que consegui ingressar;Não;Pública;Escola Estadual;Pública;Escola Estadual;RN;Eu já morava na mesma cidade;Não;Masculino;Negro;Solteiro;Não;Não;Entre 2001 e 2500 reais;Não;Reprovado em duas disciplinas;Sim;Não;Não;Sim;Sim;Sim;Sim;Sim;Não;Ensino primário incompleto;Ensino primário incompleto;128;2012;2015;30
Concludente/Egresso;Angicos - Diurno;2016.2;20212;Sim, sempre quis cursar CeT;Não;Pública;Escola Estadual;Pública;Escola Estadual;RN;Não;Não;Masculino;Pardo;Casado;Sim;Sim;Entre 1001 e 1500 reais;Não;Aprovado em todas as disciplinas;Não;Não;Não;Sim;Sim;Sim;Não;Não;Não;Ensino médio completo;Ensino médio incompleto;129;2016;2021;50
Concludente/Egresso;Mossoró - Noturno;2014.1;20171;Sim, sempre quis cursar CeT;Sim;Pública;Instituto Federal;Pública;Parte em escalo municipal e parte em estadual ;RN;Não;Sim;Feminino;Pardo;Solteiro;Não;Não;Entre 501 e 1000 reais;Sim;Aprovado em todas as disciplinas;Sim;Não;Não;Não;Não;Sim;Não;Não;Sim;Ensino fundamental incompleto;Ensino fundamental incompleto;130;2014;2017;30
Evadido/Desistente;Caraúbas - Diurno;2013.1;20131;Não, esse foi o curso que consegui ingressar;Não;Pública;Escola Estadual;Pública;Municipal;RN;Não;Não;Masculino;Negro;Solteiro;Não;Sim;Entre 2001 e 2500 reais;Não;Reprovado em duas disciplinas;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Sim;Ensino fundamental Completo;Ensino fundamental incompleto;131;2013;2013;0
Concludente/Egresso;Angicos - Diurno;2010.1;20131;Sim, sempre quis cursar CeT;Sim;privada;NULO;Privada;NULO;RN;Não;Não;Masculino;Branco;Solteiro;Não;Sim;Entre 2501 e 3000 reais;Não;Reprovado em cinco ou mais disciplinas;Não;Não;Sim;Sim;Sim;Sim;Não;Não;Não;Ensino médio completo;Ensino médio incompleto;132;2010;2013;30
Concludente/Egresso;Mossoró - Diurno;2014.1;20162;Sim, sempre quis cursar CeT;Não;privada;NULO;Privada;NULO;RN;Eu já morava na mesma cidade;Não;Masculino;Branco;Solteiro;Não;Sim;Acima de 3000 reais;Sim;Aprovado em todas as disciplinas;Não;Não;Não;Sim;Sim;Sim;Sim;Não;Sim;Ensino superior Completo;Ensino superior Completo;133;2014;2016;20
Concludente/Egresso;Caraúbas - Diurno;2020.2;20202;Sim, sempre quis cursar CeT;Sim;Pública;Escola Estadual;Pública;Municipal;RN;Sim;Não;Feminino;Branco;Solteiro;Não;Não;Entre 1501 e 2000 reais;Não;Aprovado em todas as disciplinas;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Pós-graduação completa;Ensino primário incompleto;134;2020;2020;0
Concludente/Egresso;Angicos - Diurno;2020.1;20201;Sim, sempre quis cursar CeT;Não;Pública;Escola Estadual;Pública;Escola Estadual;RN;Sim;Não;Masculino;Pardo;Solteiro;Não;Sim;Menos de 500 reais;Não;Reprovado em cinco ou mais disciplinas;Não;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Ensino primário incompleto;Ensino primário incompleto;135;2020;2020;0
Concludente/Egresso;Mossoró - Diurno;2014.1;20171;Não, esse foi o curso que consegui ingressar;Não;Pública;Escola Estadual;Pública;Escola Estadual;SP;Sim;Não;Feminino;Branco;Solteiro;Não;Sim;Acima de 3000 reais;Não;Reprovado em uma disciplina;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Ensino fundamental incompleto;Ensino médio completo;136;2014;2017;30
