"Carimbo de data/hora","Qual a sua situação atual em relação ao curso ?","Qual a sua Universidade","Qual o estado onde se localiza sua universidade","Qual o curso que você ingressou?","Em qual  turno você  estava matriculado?","Em qual ano e semestre você ingressou no curso? Exemplo 2010.1","Em qual semestre você concluiu ou desistiu do curso? Exemplo 2015.2","Em relação ao seu aproveitamento acadêmico, até o segundo semestre do curso você foi?","Com relação ao ingresso na universidade a qual se matriculou, esta sempre foi a sua primeira opção de Universidade?","Com relação ao ingresso no curso, este sempre foi a sua primeira opção de curso?","Antes de ingressar no curso, você já possuía algum conhecimento prévio na área?","Antes de ingressar na universidade, em que tipo de escola você cursou o ensino médio?","Caso tenha cursado o ensino médio em escola pública, qual foi o tipo de instituição?","Antes de ingressar no ensino médio, em que tipo de escola você cursou o ensino fundamental?","Caso tenha cursado o ensino fundamental em escola pública, qual foi o tipo de instituição?","Antes de ingressar na universidade, você morava na mesma cidade onde se localiza o curso ao qual se matriculou?","Ao ingressar na universidade você se mudou para morar na mesma cidade do campus que se matriculou?","Você chegou a morar em vila acadêmica?","Qual seu gênero?","A qual raça você se considera pertencer?","Quando estava matriculado na universidade, qual era o seu Estado Civil?","Quando ingressou na universidade, qual era o sua idade?","Perguntas sobre fatores individuas, internos à instituição e externos à instituição [Quando estava na universidade, você tinha filhos?]","Perguntas sobre fatores individuas, internos à instituição e externos à instituição [Quando estava na universidade, você  trabalhava?]","Perguntas sobre fatores individuas, internos à instituição e externos à instituição [Você foi contemplado alguma bolsa durante o período que esteve no curso?]","Perguntas sobre fatores individuas, internos à instituição e externos à instituição [Você considera que, durante o período que esteve no curso, teve o devido acompanhamento da universidade? Exemplo: PROAE ou Coordenação do curso.]","Perguntas sobre fatores individuas, internos à instituição e externos à instituição [Você considera que a grade curricular do seu curso é adequada ao que se exige no mercado de trabalho?]","Perguntas sobre fatores individuas, internos à instituição e externos à instituição [Em relação à cadeia de pré-requisitos das disciplinas do curso, você considera adequada?]","Perguntas sobre fatores individuas, internos à instituição e externos à instituição [Em relação aos critérios de avaliação do desempenho do aluno, você considera adequado?]","Perguntas sobre fatores individuas, internos à instituição e externos à instituição [Em relação à infraestrutura da instituição como laboratórios, bibliotecas, equipamentos de informática e etc, você considera adequada?]","Perguntas sobre fatores individuas, internos à instituição e externos à instituição [Em relação aos professores, você considera que os mesmos apresentam deficiências pedagógicas, desinteresse ou outros problemas?]","Perguntas sobre fatores individuas, internos à instituição e externos à instituição [Você considera que as carreiras relacionadas ao curso são socialmente reconhecidas?]","Perguntas sobre fatores individuas, internos à instituição e externos à instituição [Em relação ao mercado, você considera que o profissional formado no curso que você escolheu, é pago adequadamente?]","Perguntas sobre fatores individuas, internos à instituição e externos à instituição [Durante o período em que você estava na universidade, seus pais eram casados?]","Ao ingressar na universidade, qual era a renda mensal da sua família?","Em relação à sua mãe, qual o nível de escolaridade dela?","Em relação ao seu pai, qual o nível de escolaridade dele?"
"2022/05/11 9:16:31 AM GMT-3","Concludente","UFMT","MT","Engenharia Agrícola e Ambiental","Integral","2017.1","2021.2","Aprovado em todas as disciplinas","Sim, sempre quis cursar o ensino superior nesta universidade","Não, esse foi o curso que consegui ingressar","Não","Pública","Escola Estadual","Privada","","Sim, eu morava na mesma cidade da minha universidade","Eu já morava na mesma cidade","Não","Feminino","Branco","Solteiro","17 anos","Não","Sim","Sim","Não","Sim","Não","Não","Sim","Sim","Sim","Sim","Não","Entre 2501 e 3000 reais","Ensino superior Completo","Ensino médio completo"
"2022/05/11 9:19:37 AM GMT-3","Concludente","UFMT","MT","Engenharia Agrícola e Ambiental","Integral","2017.1","2022.1","Aprovado em todas as disciplinas","Sim, sempre quis cursar o ensino superior nesta universidade","Sim, sempre quis cursar este curso ao qual ingressei","Não","Pública","Escola Estadual","Pública","Escola Estadual","Não, eu morava em uma cidade diferente da qual se localiza a minha universidade","Sim","Não","Feminino","Branco","Solteiro","18 anos","Não","Não","Não","Sim","Não","Não","Sim","Não","Não","Não","Sim","Sim","Entre 1501 e 2000 reais","Ensino primário incompleto","Ensino primário incompleto"
"2022/05/11 9:27:30 AM GMT-3","Evadido/Desistente","UFMT","MT","Engenharia Agrícola e Ambiental","Integral","2016.2","2022.1","Reprovado em quatro disciplinas","Sim, sempre quis cursar o ensino superior nesta universidade","Não, esse foi o curso que consegui ingressar","Não","Privada","","Pública","Municipal","Sim, eu morava na mesma cidade da minha universidade","Eu já morava na mesma cidade","Não","Feminino","Branco","Solteiro","Entre 20 e 25 anos","Não","Sim","Não","Sim","Não","Não","Não","Não","Sim","Não","Sim","Sim","Acima de 3000 reais","Pós-graduação completa","Ensino superior Completo"
"2022/05/11 9:30:30 AM GMT-3","Concludente","UFMT","MT","Engenharia Agrícola e Ambiental","Integral","2019.2","Cursando ainda","Reprovado em uma disciplina","Não, esta foi  a minha segunda opção de Universidade","Não, esse foi o curso que consegui ingressar","Não","Pública","Escola Estadual","Pública","Municipal","Não, eu morava em uma cidade diferente da qual se localiza a minha universidade","Sim","Não","Masculino","Branco","Solteiro","17 anos","Não","Não","Não","Sim","Sim","Não","Sim","Não","Sim","Sim","Sim","Sim","Entre 1001 e 1500 reais","Ensino médio completo","Ensino médio completo"
"2022/05/11 9:39:33 AM GMT-3","Concludente","UFMT","MT","Engenharia Agrícola e Ambiental","Integral","2016.1","2022.1","Reprovado em duas disciplinas","Não, esta foi  a minha segunda opção de Universidade","Não, esse foi o curso que consegui ingressar","Não","Privada","","Privada","","Sim, eu morava na mesma cidade da minha universidade","Eu já morava na mesma cidade","Não","Feminino","Branco","Solteiro","17 anos","Não","Não","Não","Não","Não","Sim","Não","Não","Não","Não","Não","Sim","Acima de 3000 reais","Ensino médio completo","Ensino superior Completo"
"2022/05/11 10:01:40 AM GMT-3","Concludente","UFMT","MT","Engenharia Agrícola e Ambiental","Integral","2021.1","Nenhum","Aprovado em todas as disciplinas","Não, esta foi  a minha segunda opção de Universidade","Não, esse foi o curso que consegui ingressar","Não","Pública","Escola Estadual","Pública","Municipal","Não, eu morava em uma cidade diferente da qual se localiza a minha universidade","Sim","Não","Masculino","Pardo","Casado","Entre 20 e 25 anos","Sim","Sim","Não","Não","Sim","Sim","Sim","Sim","Não","Sim","Sim","Não","Entre 1001 e 1500 reais","Ensino fundamental incompleto","Ensino fundamental incompleto"
"2022/05/11 10:08:56 AM GMT-3","Concludente","UFSB","BA","Engenharia Agrícola e Ambiental","Integral","2019.3","Irei concluir em 2023.2","Reprovado em uma disciplina","Não, esta foi  a minha segunda opção de Universidade","Não, esse foi o curso que consegui ingressar","Não","Pública","Escola Estadual","Pública","Municipal","Não, eu morava em uma cidade diferente da qual se localiza a minha universidade","Sim","Não","Feminino","Pardo","Solteiro","Entre 20 e 25 anos","Não","Sim","Sim","Sim","Sim","Não","Sim","Não","Não","Sim","Sim","Sim","Entre 501 e 1000 reais","Ensino superior Completo","Ensino superior Completo"
"2022/05/11 1:21:15 PM GMT-3","Concludente","UFMT","MT","Engenharia Agrícola e Ambiental","Integral","2017.2","2022.1","Reprovado em quatro disciplinas","Não, esta foi  a minha segunda opção de Universidade","Não, esse foi o curso que consegui ingressar","Sim, curso técnico ou curso de formação","Pública","Instituto Federal","Pública","Escola Estadual","Não, eu morava em uma cidade diferente da qual se localiza a minha universidade","Sim","Não","Masculino","Pardo","Solteiro","19 anos","Não","Não","Sim","Não","Sim","Não","Sim","Não","Sim","Sim","Sim","Sim","Entre 1501 e 2000 reais","Pós-graduação completa","Ensino primário incompleto"
"2022/05/11 3:35:13 PM GMT-3","Evadido/Desistente","UFMT","MT","Engenharia Agrícola e Ambiental","Integral","2022/1","2022/1","Aprovado em todas as disciplinas","Sim, sempre quis cursar o ensino superior nesta universidade","Sim, sempre quis cursar este curso ao qual ingressei","Sim, curso técnico ou curso de formação","Pública","Escola Estadual","Pública","Escola Estadual","Não, eu morava em uma cidade diferente da qual se localiza a minha universidade","Não","Não","Masculino","Pardo","Solteiro","19 anos","Não","Sim","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Entre 1501 e 2000 reais","Ensino médio completo","Pós-graduação completa"
"2022/05/11 5:37:34 PM GMT-3","Concludente","UFMT","MT","Engenharia Agrícola e Ambiental","Integral","2016.2","2021.2","Aprovado em todas as disciplinas","Não, esta foi  a minha segunda opção de Universidade","Não, esse foi o curso que consegui ingressar","Não","Pública","Escola Estadual","Pública","Escola Estadual","Não, eu morava em uma cidade diferente da qual se localiza a minha universidade","Sim","Não","Feminino","Pardo","Solteiro","Entre 20 e 25 anos","Não","Sim","Sim","Sim","Sim","Sim","Não","Não","Não","Não","Não","Não","Entre 2501 e 3000 reais","Pós-graduação completa","Ensino superior incompleto"
"2022/05/12 12:07:02 AM GMT-3","Concludente","UFMT","MT","Engenharia Agrícola e Ambiental","Integral","2016.1","Ainda não conclui","Aprovado em todas as disciplinas","Sim, sempre quis cursar o ensino superior nesta universidade","Sim, sempre quis cursar este curso ao qual ingressei","Sim, já trabalhava na área a qual estudei","Pública","Escola Estadual","Pública","Municipal","Não, eu morava em uma cidade diferente da qual se localiza a minha universidade","Sim","Não","Masculino","Pardo","Solteiro","Acima de 25 anos","Não","Sim","Sim","Não","Não","Sim","Não","Não","Não","Não","Não","Não","Entre 2501 e 3000 reais","Ensino primário incompleto","Ensino primário incompleto"
"2022/05/13 2:18:04 AM GMT-3","Concludente","UFMT","MT","Engenharia Agrícola e Ambiental","Integral","2016.2","2022.1","Reprovado em cinco ou mais disciplinas","Sim, sempre quis cursar o ensino superior nesta universidade","Não, esse foi o curso que consegui ingressar","Não","Pública","Escola Estadual","Pública","Escola Estadual","Não, eu morava em uma cidade diferente da qual se localiza a minha universidade","Sim","Não","Feminino","Pardo","Solteiro","19 anos","Não","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Entre 2501 e 3000 reais","Ensino superior Completo","Ensino fundamental incompleto"
"2022/05/13 7:34:54 AM GMT-3","Concludente","UFSB","BA","Engenharia Agrícola e Ambiental","Integral","2022.1","Não desisti","Reprovado em quatro disciplinas","Não, esta foi  a minha segunda opção de Universidade","Sim, sempre quis cursar este curso ao qual ingressei","Não","Pública","Escola Estadual","Privada","","Sim, eu morava na mesma cidade da minha universidade","Eu já morava na mesma cidade","Não","Feminino","Pardo","Solteiro","17 anos","Não","Não","Sim","Sim","Sim","Não","Não","Sim","Não","Sim","Sim","Não","Entre 1001 e 1500 reais","Ensino médio completo","Ensino médio completo"
"2022/05/13 11:12:30 AM GMT-3","Concludente","ufvjm","MG","Engenharia Agrícola e Ambiental","Diurno","2019.2","estou cursando o curso","Aprovado em todas as disciplinas","","Não, esse foi o curso que consegui ingressar","Não","Pública","Escola Estadual","Pública","Municipal","Não, eu morava em uma cidade diferente da qual se localiza a minha universidade","Sim","Não","Masculino","Pardo","Solteiro","18 anos","Não","Não","Não","Não","Não","Sim","Sim","Não","Não","Sim","Sim","Sim","Entre 1001 e 1500 reais","Ensino fundamental Completo","Ensino fundamental incompleto"
"2022/05/17 10:16:35 AM GMT-3","Concludente","UFERSA","RN","Engenharia Agrícola e Ambiental","Integral","2015.2","2022.2","Reprovado em uma disciplina","Sim, sempre quis cursar o ensino superior nesta universidade","Não, esse foi o curso que consegui ingressar","Não","Privada","","Privada","","Não, eu morava em uma cidade diferente da qual se localiza a minha universidade","Sim","Sim","Feminino","Pardo","Solteiro","18 anos","Não","Não","Sim","Não","Sim","Sim","Não","Sim","Não","Não","Não","Sim","Entre 2001 e 2500 reais","Pós-graduação incompleta","Ensino fundamental Completo"
"2022/05/23 7:56:40 AM GMT-3","Concludente","UFERSA","RN","Biotecnologia","Integral","2014.2","2019.1","Aprovado em todas as disciplinas","Sim, sempre quis cursar o ensino superior nesta universidade","Sim, sempre quis cursar este curso ao qual ingressei","Não","Pública","Escola Estadual","Pública","Municipal","Não, eu morava em uma cidade diferente da qual se localiza a minha universidade","Sim","Não","Feminino","Branco","Solteiro","Entre 20 e 25 anos","Não","Não","Não","Sim","Não","Sim","Não","Sim","Sim","Não","Não","Sim","Entre 2001 e 2500 reais","Ensino primário incompleto","Ensino primário incompleto"
