;Qual a sua situação atual em relação ao curso de CeT?;Qual Campus e turno você pertence / pertenceu?;Em qual ano e semestre você ingressou no curso de CeT? Exemplo 2010.1;Em qual semestre você concluiu, desistiu ou encontra-se atualmente?Exemplo 2015.2;Com relação ao ingresso no curso de CeT, esta sempre foi a sua primeira opção de curso?;Antes de ingressar no curso você já possuía algum conhecimento prévio na área?;Antes de ingressar na universidade, em que tipo de escola você cursou o ensino médio?;Caso tenha estudado em escola pública, qual foi o tipo de instituição?;Antes de ingressar no ensino médio, em que tipo de escola você cursou o ensino fundamental?;Caso tenha estudado em escola pública, qual foi o tipo de instituição?_1;Antes de entrar na universidade em qual cidade/estado você morava?;Ao ingressar na universidade você se mudou para morar na mesma cidade do campus que se matriculou?;Você chegou a morar na vila acadêmica?;Qual seu gênero?;A qual raça você se considera pertencer?;Qual seu Estado Civil?;Você tem filhos;Você trabalha?;Qual a renda mensal da sua família ao ingressar na universidade?;Você foi contemplado alguma bolsa durante o período que esteve no curso?;Em relação ao seu aproveitamento acadêmico, até o segundo semestre do curso você foi?;Você considera que durante o período que esteve no curso teve o devido acompanhamento da universidade? Exemplo: PROAE ou Coordenação docurso.;Você considera que a grade curricular do curso de CeT é adequado ao que se exige no mercado de trabalho?;Em relação à cadeia de pré-requisitos das disciplinas do curso, você considera adequado?;Em relação aos critérios de avaliação do desempenho do aluno, você considera adequado?;Em relação à infraestrutura da instituição como laboratórios, bibliotecas, equipamentos de informática e etc, você considera adequada?;Em relação aos professores, você considera que os mesmos apresentam deficiências pedagógicas, desinteresse ou outros problemas?;Você considera que as carreiras relacionadas ao curso de CeT são socialmente reconhecidas?;Em relação ao mercado, você considera que o profissional formado em CeT é pago adequadamente?;Em relação aos seus pais, durante o período que você estava no curso, eles eram casados?;Em relação a sua mãe, qual o nível de escolaridade dela?;Em relação a seu pai, qual o nível de escolaridade dele?;cod_aluno;Ano de início;Ano fim;tempo no campus
205;Concludente/Egresso;Angicos - Noturno;2018.2;2021.2;Sim, sempre quis cursar CeT;Sim;Pública;Instituto Federal;Pública;Municipal;Alto do Rodrigues;Sim;Sim;Feminino;Pardo;Solteiro;Não;Não;Entre 1001 e 1500 reais;Sim;Reprovado em duas disciplinas;Sim;Sim;Sim;Sim;Sim;Não;Não;Não;Sim;Ensino médio completo;Ensino fundamental Completo;206;2018;2021;3.0
206;Concludente/Egresso;Pau dos Ferros - Diurno;2012.1;2018.2;Não, esse foi o curso que consegui ingressar;Não;Pública;Escola Estadual;Pública;Escola Estadual;Pau dos Ferros/RN;Eu já morava na mesma cidade;Não;Masculino;Negro;Solteiro;Não;Não;Entre 1501 e 2000 reais;Sim;Reprovado em quatro disciplinas;Não;Não;Não;Sim;Sim;Sim;Não;Não;Não;Ensino médio completo;Ensino médio completo;207;2012;2018;6.0
207;Concludente/Egresso;Mossoró - Diurno;2018.2;2019.1;Sim, sempre quis cursar CeT;Sim;Pública;Escola Estadual;Privada;Municipal;morada nova - ceará;Sim;Não;Masculino;Branco;Solteiro;Não;Não;Entre 2501 e 3000 reais;Não;Reprovado em cinco ou mais disciplinas;Não;Sim;Sim;Não;Sim;Não;Sim;Sim;Não;Ensino primário incompleto;Ensino fundamental incompleto;208;2018;2019;1.0
208;Concludente/Egresso;Caraúbas - Diurno;2016.1;2021.1;Não, esse foi o curso que consegui ingressar;Sim;Pública;Instituto Federal;Pública;Municipal;Floriano-PI;Sim;Não;Masculino;Negro;Casado;Sim;Sim;Entre 1001 e 1500 reais;Não;Reprovado em uma disciplina;Não;Não;Sim;Não;Sim;Sim;Não;Não;Não;Ensino fundamental Completo;Ensino fundamental Completo;209;2016;2021;5.0
209;Concludente/Egresso;Mossoró - Diurno;2017.2;2021.1;Não, esse foi o curso que consegui ingressar;Não;Pública;Escola Estadual;Pública;Municipal;Upanema/ RN;Não;Não;Feminino;Pardo;Solteiro;Não;Não;Entre 1001 e 1500 reais;Não;Reprovado em duas disciplinas;Sim;Não;Não;Não;Não;Não;Sim;Não;Sim;Ensino médio completo;Ensino fundamental incompleto;210;2017;2021;4.0
210;Evadido/Desistente;Mossoró - Diurno;2017.1;2018.2;Sim, sempre quis cursar CeT;Sim;Pública;Escola Estadual;Pública;Escola Estadual;Mossoró RN ;Eu já morava na mesma cidade;Não;Masculino;Branco;Solteiro;Não;Sim;Menos de 500 reais;Não;Reprovado em uma disciplina;Não;Não;Não;Não;Sim;Não;Sim;Não;Não;Ensino fundamental incompleto;Ensino médio completo;211;2017;2018;1.0
211;Concludente/Egresso;Pau dos Ferros - Diurno;2014.2;2020.1;Sim, sempre quis cursar CeT;Não;Pública;Escola Estadual;Pública;Escola Estadual;Umarizal;Sim;Não;Masculino;Negro;Solteiro;Não;Não;Menos de 500 reais;Sim;Reprovado em duas disciplinas;Não;Não;Não;Sim;Não;Sim;Não;Não;Sim;Ensino médio completo;Ensino primário incompleto;212;2014;2020;6.0
212;Evadido/Desistente;Mossoró - Diurno;2010.2;2015.1;Sim, sempre quis cursar CeT;Sim;Pública;Escola Estadual;Pública;Escola Estadual;Mossoro- RN;Eu já morava na mesma cidade;Não;Masculino;Pardo;Casado;Sim;Sim;Acima de 3000 reais;Não;Reprovado em uma disciplina;Não;Não;Sim;Não;Sim;Sim;Sim;Sim;Não;Ensino primário incompleto;Ensino médio completo;213;2010;2015;5.0
213;Concludente/Egresso;Mossoró - Diurno;2012.1;2016.1;Não, esse foi o curso que consegui ingressar;Sim;Pública;Escola Estadual;Pública;Municipal;Catole do Rocha-PB;Sim;Não;Masculino;Branco;Solteiro;Não;Sim;Entre 1501 e 2000 reais;Sim;Reprovado em duas disciplinas;Não;Não;Sim;Não;Sim;Sim;Sim;Não;Sim;Ensino fundamental incompleto;Ensino médio completo;214;2012;2016;4.0
214;Evadido/Desistente;Mossoró - Noturno;NAO LEMBRO ;SEM INFORMACAO;Sim, sempre quis cursar CeT;Não;Pública;Escola Estadual;Pública;Escola Estadual;MOSSORÓ RN ;Eu já morava na mesma cidade;Não;Feminino;Amarelo;Casado;Sim;Sim;Entre 1501 e 2000 reais;Não;Reprovado em cinco ou mais disciplinas;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Ensino fundamental incompleto;Ensino fundamental incompleto;215;NAO LEMBRO ;SEM INFORMACAO;
215;Concludente/Egresso;Pau dos Ferros - Noturno;2020.1;2020.1;Sim, sempre quis cursar CeT;Sim;Pública;Escola Estadual;Pública;Escola Estadual;São miguel ;Não;Não;Feminino;Branco;Solteiro;Não;Sim;Entre 501 e 1000 reais;Não;Aprovado em todas as disciplinas;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Ensino fundamental incompleto;Ensino fundamental incompleto;216;2020;2020;0.0
216;Concludente/Egresso;Mossoró - Diurno;2012.1;2014.2;Sim, sempre quis cursar CeT;Não;privada;;Privada;;Mossoró ;Não;Não;Feminino;Branco;Solteiro;Não;Sim;Acima de 3000 reais;Não;Aprovado em todas as disciplinas;Não;Não;Sim;Não;Sim;Sim;Não;Não;Não;Ensino superior Completo;Pós-graduação completa;217;2012;2014;2.0
217;Evadido/Desistente;Mossoró - Diurno;2011.1;2013.1;Não, esse foi o curso que consegui ingressar;Não;privada;;Privada;;Mossoró - RN;Eu já morava na mesma cidade;Não;Feminino;Branco;Casado;Sim;Sim;Acima de 3000 reais;Não;Reprovado em cinco ou mais disciplinas;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Ensino superior Completo;Ensino superior Completo;218;2011;2013;2.0
218;Evadido/Desistente;Mossoró - Diurno;2010.1;2014.2;Não, esse foi o curso que consegui ingressar;Sim;privada;;Privada;;Mossoró;Eu já morava na mesma cidade;Não;Feminino;Branco;Casado;Sim;Não;Entre 1001 e 1500 reais;Não;Reprovado em duas disciplinas;Não;Não;Não;Não;Sim;Sim;Não;Sim;Não;Ensino superior Completo;Ensino superior Completo;219;2010;2014;4.0
219;Concludente/Egresso;Mossoró - Diurno;2011.1;2016.2;Sim, sempre quis cursar CeT;Não;privada;;Privada;;Mossoró ;Eu já morava na mesma cidade;Não;Masculino;Branco;Solteiro;Não;Sim;Acima de 3000 reais;Não;Reprovado em uma disciplina;Não;Não;Não;Sim;Sim;Sim;Sim;Não;Sim;Pós-graduação completa;Ensino superior Completo;220;2011;2016;5.0
220;Concludente/Egresso;Mossoró - Noturno;2015.2;2018.2;Sim, sempre quis cursar CeT;Sim;privada;;Privada;;Mossoró/RN;Eu já morava na mesma cidade;Não;Feminino;Branco;Solteiro;Não;Sim;Entre 1001 e 1500 reais;Sim;Reprovado em duas disciplinas;Sim;Sim;Sim;Sim;Não;Não;Não;Não;Sim;Ensino superior Completo;Ensino superior incompleto;221;2015;2018;3.0
221;Evadido/Desistente;Mossoró - Diurno;2011.1;2013.1;Não, esse foi o curso que consegui ingressar;Não;privada;;Pública;Escola Estadual;Mossoró/rn ;Eu já morava na mesma cidade;Não;Feminino;Branco;Solteiro;Sim;Sim;Entre 2501 e 3000 reais;Não;Reprovado em duas disciplinas;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não;Ensino médio completo;Ensino médio incompleto;222;2011;2013;2.0
